,country,world_bank_totals,chinese_aid_totals,usaid_aid,hdi_14,pr_score14,cl_score14,fh_status14,cpi_2014,gdp_per_cap14,resource_rents,debt_to_gdp,fh_change,pc_gdp_change,hdi_change,world_bank_pc,chinese_aid_pc,usaid_pc,chinese_aid_total_max,clusters_all,cluster_all_aid,cluster_pc_aid,clusters_selected_features,clusters_selected_features_9
30,Madagascar,2249695940.05051,165017734.0766667,2095127322.0,0.512,4.0,4.0,PF,28.0,468.11300080000007,11.22439775,34.650999999999996,2.0,222.17393490000006,0.056,95.3669655157954,6.995274461326021,88.81464001925909,0,0,0,0,0,6
31,Malawi,1771178214.7146976,1028785030.7766666,4089349108.0,0.472,3.0,4.0,PF,33.0,507.537975,9.303725013,55.24,1.0,351.15225640000006,0.11,108.73101479321684,63.15617450073278,251.04141111412602,0,0,0,0,0,0
32,Mali,2152684569.33905,1876384544.5333333,4318933048.0,0.414,5.0,4.0,PF,32.0,706.981554,11.43790898,27.276999999999997,4.0,437.1104163,0.10599999999999997,127.12038519276648,110.80430893972874,255.0417467116879,0,0,0,0,0,6
33,Mauritania,527094892.57145995,1220487840.753333,674582555.0,0.518,6.0,5.0,NF,30.0,1369.187945,31.0318372,80.361,0.0,877.3451832999998,0.07200000000000001,134.090266588447,310.48591485333964,171.61037966916447,1,4,0,0,0,6
34,Mauritius,438339782.06472,18482133537.52666,24387198.0,0.7859999999999999,1.0,2.0,F,54.0,9163.633473,0.0012006319999999999,57.543,0.0,5234.557977999999,0.11199999999999988,347.63102752778497,14657.494791580415,19.340582457130985,1,1,0,1,2,3
35,Morocco,5975940822.767529,6318298864.739999,3366876290.0,0.653,5.0,4.0,PF,39.0,3125.0794809999998,2.0634716230000003,63.339,0.0,1790.1364300000002,0.122,174.7742213416215,184.78693096850003,98.46870967939111,1,0,0,0,0,0
36,Mozambique,3848939429.8659983,7052097382.366666,8185871492.0,0.42,4.0,3.0,PF,31.0,558.2093443,13.56366262,62.371,0.0,244.6413102,0.11900000000000001,146.42454396505104,268.28173371544057,311.41370811708043,0,0,0,0,0,0
37,Namibia,15833445.15094,2942054137.593333,2659015595.0,0.631,2.0,2.0,F,49.0,6154.488886,2.563181623,25.189,-1.0,4018.048643,0.08800000000000008,6.964562423712188,1294.103683682072,1169.6052198660175,1,1,0,0,0,5
38,Niger,1594253951.87673,1783428455.1266673,1784885420.0,0.353,3.0,4.0,PF,35.0,384.9006562,13.77054788,31.976,-1.0,226.1956814,0.09999999999999998,82.86075585956652,92.69303026615984,92.76875547325315,0,0,0,0,0,0
39,Nigeria,10756091053.550283,32518599574.55333,9655778996.0,0.523,4.0,5.0,PF,27.0,2563.899969,10.3209233,13.072000000000001,1.0,1995.9692329999998,0.015569444444444525,60.973878455771505,184.34067991236054,54.73645509011989,1,3,1,0,0,7
40,Rwanda,2101318581.8820105,3305603314.986666,3652477663.0,0.513,6.0,6.0,NF,49.0,688.2121987,6.398810833,29.131,-1.0,469.53203600000006,0.17600000000000002,189.58749380343272,298.2418055977724,329.5378874349435,0,0,0,0,0,6
41,Sao Tome and Principe,55158991.58953001,0.0,38847671.0,0.5770000000000001,2.0,2.0,F,42.0,1213.164082,2.957771713,69.553,1.0,150.674082,0.09700000000000007,281.8159558442628,0.0,198.47885575316639,0,1,0,2,0,5
42,Senegal,2227930058.21804,2037593839.7266672,3656034159.0,0.501,2.0,2.0,F,43.0,1337.40669,3.750716816,54.461999999999996,-3.0,732.7526239999999,0.111,157.17617909066774,143.74832508120733,257.92617574188887,0,1,0,0,0,0
43,Sierra Leone,792722629.96532,1421288850.8133323,1099909432.0,0.43,3.0,3.0,PF,31.0,567.834267,36.45601993,34.966,-3.0,429.1355748,0.132,112.96941176714058,202.545202266525,156.74602544853002,1,0,0,0,0,0
44,South Africa,3848383989.7297,3355332640.286668,10589592482.0,0.691,2.0,2.0,F,44.0,7582.6969290000025,5.787663842000001,46.985,1.0,4550.2697910000015,0.06199999999999994,70.55301258949902,61.513826750102815,194.14061946367423,0,1,0,0,0,5
45,South Sudan,126336882.7008,139151386.03333336,4261786181.0,0.435,7.0,7.0,NF,15.0,831.8504616,24.10417281,38.339,0.0,-8339.479683399999,-0.0724305555555555,11.969519955910457,13.183602891034733,403.77389128804174,0,4,0,0,0,1
46,Swaziland,46900000.0,0.0,540913051.0,0.573,7.0,5.0,NF,43.0,4578.2885700000015,3.547631688,14.279000000000002,1.0,2849.5832350000014,0.10499999999999997,42.830228826661774,0.0,493.9750479671166,0,0,0,0,0,6
47,Tanzania,7763593727.746676,24102819087.930004,9664758636.0,0.509,3.0,3.0,PF,31.0,846.3868415,6.2220387000000015,33.795,-2.0,435.4345139,0.114,155.3967451634771,482.44405450303657,193.4506219017354,1,0,1,0,0,0
48,Togo,432693212.59658,4314953762.713333,147229954.0,0.495,4.0,4.0,PF,29.0,611.5350691000001,20.89358287,60.446999999999996,-2.0,309.3286748000001,0.069,60.61829566425707,604.5048439657977,20.62622805809529,1,0,0,0,0,0
49,Tunisia,3714659324.397101,135546261.5733333,1054238685.0,0.728,1.0,3.0,F,40.0,4302.4865439999985,4.86519578,51.56100000000001,-7.0,2090.6597269999984,0.07499999999999996,335.76713687088403,12.251993032878394,95.29237378946655,0,0,0,2,0,0
50,Turkey,25606561582.3389,8767650288.153334,1776648160.0,0.792,3.0,4.0,PF,45.0,13277.76077,0.41634672,28.769000000000002,-2.0,8961.211862,0.13699999999999998,331.554179833199,113.52367989765335,23.00406954861285,1,0,3,2,0,5
51,Uganda,5086029421.184732,3755667727.2066655,10329016904.0,0.509,6.0,5.0,NF,26.0,676.3376331000002,11.61607516,30.798000000000002,0.0,414.46863540000015,0.114,137.78741408342674,101.74611694791278,279.82703428692366,0,0,0,0,0,6
52,Yemen,2445064361.5030503,392057061.0000001,2939500773.0,0.504,6.0,6.0,NF,19.0,1119.147493,12.74950126,48.722,1.0,564.6988596,0.0719999999999999,94.68374859175863,15.182190203994546,113.83052182925735,0,4,0,0,0,6
53,Zambia,1604376380.76425,9288268981.15667,6452866404.0,0.565,3.0,4.0,PF,38.0,1644.10679,15.41524906,36.137,-2.0,1298.4172356,0.13699999999999996,104.18195543553524,603.1440232292473,419.02401967096483,1,0,0,0,0,0
54,Bahrain,0.0,18159502.92,900204738.0,0.81,7.0,6.0,NF,49.0,22395.30603,8.612222765,44.397,0.0,8758.9098,0.018000000000000016,0.0,13.591679299440527,673.7681178077577,0,5,0,0,1,4
55,Equatorial Guinea,0.0,3762499914.933333,5080444.0,0.59,7.0,7.0,NF,18.0,16130.336369999999,30.90123273,12.720999999999998,0.0,14404.781632000002,0.06999999999999995,0.0,3352.5620390468407,4.5269113836525054,1,6,0,0,1,4
56,Israel,0.0,66231498.33333333,102054103330.0,0.9,1.0,2.0,F,60.0,32977.960869999995,0.292944765,66.094,-1.0,11934.385939999995,0.047000000000000035,0.0,8.061577021231706,12421.839080054044,0,7,2,3,1,5
57,Libya,0.0,17301003.406666666,950008484.0,0.693,6.0,6.0,NF,18.0,6530.856715,42.13791202,36.39,-2.0,-611.9177369999998,-0.03500000000000003,0.0,2.7194125728389613,149.32457701833548,0,6,0,0,1,1
58,Palestine,0.0,20111749.89333333,13369537056.0,0.682,6.0,6.0,NF,24.5,2603.521014,0.0,17.4,0.0,1127.349164,0.17456944444444455,0.0,4.819034727417162,3203.5135532244954,0,0,0,4,0,6
59,Somalia,0.0,26307418.36666667,5911541821.0,0.4,7.0,7.0,NF,8.0,486.08,13.28542439,41.69,1.0,301.08,0.10000000000000003,0.0,1.9597921125240152,440.38502266460137,0,4,0,0,0,6
60,Sudan,0.0,30610639265.219982,19230956604.0,0.496,7.0,7.0,NF,11.0,1825.5410370000002,6.5660179979999995,56.005,0.0,1459.3682294000002,0.09300000000000004,0.0,806.0170978229168,506.37556752780023,1,4,1,0,0,7
61,Syria,0.0,179607576.05333334,3572409396.0,0.551,7.0,7.0,NF,20.0,3300.0,21.6,30.01,0.0,2122.3707320000008,-0.03899999999999992,0.0,9.596640508197266,190.8779655894803,0,4,0,0,0,1
62,United Arab Emirates,0.0,31771063.0,37945421.0,0.847,6.0,6.0,NF,70.0,38495.04635,24.24950666,15.537,1.0,5203.626979999994,0.06499999999999995,0.0,3.4480637713088798,4.1181571871600005,0,5,0,0,1,4
63,Zimbabwe,0.0,23337464272.773342,3928401491.0,0.537,5.0,6.0,NF,21.0,1232.864865,6.999526793999999,49.604,0.0,669.8071239,0.08500000000000002,0.0,1717.6722021201017,289.13621295738085,1,4,0,0,0,7
64,Kuwait,0.0,0.0,8617661.0,0.8,5.0,5.0,PF,44.0,37158.7342,55.14521208,3.429,1.0,18718.35568,0.014000000000000123,0.0,0.0,2.3348134432890038,0,5,0,0,1,4
65,Oman,0.0,0.0,885517811.0,0.815,6.0,5.0,NF,45.0,16884.28341,39.66096088,4.925,0.0,8283.02924,0.11099999999999988,0.0,0.0,219.8809639804731,0,6,0,0,1,4
66,Qatar,0.0,0.0,18859773.0,0.8540000000000001,6.0,5.0,NF,69.0,65560.3754,30.55410527,24.912,-1.0,35584.258360000014,0.03800000000000015,0.0,0.0,7.669074633274749,0,2,0,0,1,2
67,Saudi Arabia,0.0,0.0,20942632.0,0.853,7.0,7.0,NF,49.0,21087.35441,41.24338343,1.5619999999999998,0.0,11916.024265,0.10899999999999987,0.0,0.0,0.6773825424295777,0,6,0,0,1,4
