Country,0,0,1
Comoros,3,2014,PR
Comoros,4,2014,CL
Comoros,PF,2014,Status
Congo (Brazzaville),6,2000,PR
Congo (Brazzaville),4,2000,CL
Congo (Brazzaville),PF,2000,Status
Congo (Brazzaville),5,2001,PR
Congo (Brazzaville),4,2001,CL
Congo (Brazzaville),PF,2001,Status
Congo (Brazzaville),6,2002,PR
Congo (Brazzaville),4,2002,CL
Congo (Brazzaville),PF,2002,Status
Congo (Brazzaville),5,2003,PR
Congo (Brazzaville),4,2003,CL
Congo (Brazzaville),PF,2003,Status
Congo (Brazzaville),5,2004,PR
Congo (Brazzaville),4,2004,CL
Congo (Brazzaville),PF,2004,Status
Congo (Brazzaville),5,2005,PR
Congo (Brazzaville),5,2005,CL
Congo (Brazzaville),PF,2005,Status
Congo (Brazzaville),6,2006,PR
Congo (Brazzaville),5,2006,CL
Congo (Brazzaville),NF,2006,Status
Congo (Brazzaville),6,2007,PR
Congo (Brazzaville),5,2007,CL
Congo (Brazzaville),NF,2007,Status
Congo (Brazzaville),6,2008,PR
Congo (Brazzaville),5,2008,CL
Congo (Brazzaville),NF,2008,Status
Congo (Brazzaville),6,2009,PR
Congo (Brazzaville),5,2009,CL
Congo (Brazzaville),NF,2009,Status
Congo (Brazzaville),6,2010,PR
Congo (Brazzaville),5,2010,CL
Congo (Brazzaville),NF,2010,Status
Congo (Brazzaville),6,2011,PR
Congo (Brazzaville),5,2011,CL
Congo (Brazzaville),NF,2011,Status
Congo (Brazzaville),6,2012,PR
Congo (Brazzaville),5,2012,CL
Congo (Brazzaville),NF,2012,Status
Congo (Brazzaville),6,2013,PR
Congo (Brazzaville),5,2013,CL
Congo (Brazzaville),NF,2013,Status
Congo (Brazzaville),6,2014,PR
Congo (Brazzaville),5,2014,CL
Congo (Brazzaville),NF,2014,Status
Congo (Kinshasa),7,2000,PR
Congo (Kinshasa),6,2000,CL
Congo (Kinshasa),NF,2000,Status
Congo (Kinshasa),6,2001,PR
Congo (Kinshasa),6,2001,CL
Congo (Kinshasa),NF,2001,Status
Congo (Kinshasa),6,2002,PR
Congo (Kinshasa),6,2002,CL
Congo (Kinshasa),NF,2002,Status
Congo (Kinshasa),6,2003,PR
Congo (Kinshasa),6,2003,CL
Congo (Kinshasa),NF,2003,Status
Congo (Kinshasa),6,2004,PR
Congo (Kinshasa),6,2004,CL
Congo (Kinshasa),NF,2004,Status
Congo (Kinshasa),6,2005,PR
Congo (Kinshasa),6,2005,CL
Congo (Kinshasa),NF,2005,Status
Congo (Kinshasa),5,2006,PR
Congo (Kinshasa),6,2006,CL
Congo (Kinshasa),NF,2006,Status
Congo (Kinshasa),5,2007,PR
Congo (Kinshasa),6,2007,CL
Congo (Kinshasa),NF,2007,Status
Congo (Kinshasa),6,2008,PR
Congo (Kinshasa),6,2008,CL
Congo (Kinshasa),NF,2008,Status
Congo (Kinshasa),6,2009,PR
Congo (Kinshasa),6,2009,CL
Congo (Kinshasa),NF,2009,Status
Congo (Kinshasa),6,2010,PR
Congo (Kinshasa),6,2010,CL
Congo (Kinshasa),NF,2010,Status
Congo (Kinshasa),6,2011,PR
Congo (Kinshasa),6,2011,CL
Congo (Kinshasa),NF,2011,Status
Congo (Kinshasa),6,2012,PR
Congo (Kinshasa),6,2012,CL
Congo (Kinshasa),NF,2012,Status
Congo (Kinshasa),6,2013,PR
Congo (Kinshasa),6,2013,CL
Congo (Kinshasa),NF,2013,Status
Congo (Kinshasa),6,2014,PR
Congo (Kinshasa),6,2014,CL
Congo (Kinshasa),NF,2014,Status
Cote d'Ivoire,6,2000,PR
Cote d'Ivoire,5,2000,CL
Cote d'Ivoire,PF,2000,Status
Cote d'Ivoire,5,2001,PR
Cote d'Ivoire,4,2001,CL
Cote d'Ivoire,PF,2001,Status
Cote d'Ivoire,6,2002,PR
Cote d'Ivoire,6,2002,CL
Cote d'Ivoire,NF,2002,Status
Cote d'Ivoire,6,2003,PR
Cote d'Ivoire,5,2003,CL
Cote d'Ivoire,NF,2003,Status
Cote d'Ivoire,6,2004,PR
Cote d'Ivoire,6,2004,CL
Cote d'Ivoire,NF,2004,Status
Cote d'Ivoire,6,2005,PR
Cote d'Ivoire,6,2005,CL
Cote d'Ivoire,NF,2005,Status
Cote d'Ivoire,7,2006,PR
Cote d'Ivoire,6,2006,CL
Cote d'Ivoire,NF,2006,Status
Cote d'Ivoire,7,2007,PR
Cote d'Ivoire,5,2007,CL
Cote d'Ivoire,NF,2007,Status
Cote d'Ivoire,6,2008,PR
Cote d'Ivoire,5,2008,CL
Cote d'Ivoire,NF,2008,Status
Cote d'Ivoire,6,2009,PR
Cote d'Ivoire,5,2009,CL
Cote d'Ivoire,NF,2009,Status
Cote d'Ivoire,7,2010,PR
Cote d'Ivoire,6,2010,CL
Cote d'Ivoire,NF,2010,Status
Cote d'Ivoire,6,2011,PR
Cote d'Ivoire,6,2011,CL
Cote d'Ivoire,NF,2011,Status
Cote d'Ivoire,5,2012,PR
Cote d'Ivoire,5,2012,CL
Cote d'Ivoire,PF,2012,Status
Cote d'Ivoire,5,2013,PR
Cote d'Ivoire,4,2013,CL
Cote d'Ivoire,PF,2013,Status
Cote d'Ivoire,5,2014,PR
Cote d'Ivoire,4,2014,CL
Cote d'Ivoire,PF,2014,Status
Djibouti,4,2000,PR
Djibouti,5,2000,CL
Djibouti,PF,2000,Status
Djibouti,4,2001,PR
Djibouti,5,2001,CL
Djibouti,PF,2001,Status
Djibouti,4,2002,PR
Djibouti,5,2002,CL
Djibouti,PF,2002,Status
Djibouti,5,2003,PR
Djibouti,5,2003,CL
Djibouti,PF,2003,Status
Djibouti,5,2004,PR
Djibouti,5,2004,CL
Djibouti,PF,2004,Status
Djibouti,5,2005,PR
Djibouti,5,2005,CL
Djibouti,PF,2005,Status
Djibouti,5,2006,PR
Djibouti,5,2006,CL
Djibouti,PF,2006,Status
Djibouti,5,2007,PR
Djibouti,5,2007,CL
Djibouti,PF,2007,Status
Djibouti,5,2008,PR
Djibouti,5,2008,CL
Djibouti,PF,2008,Status
Djibouti,5,2009,PR
Djibouti,5,2009,CL
Djibouti,PF,2009,Status
Djibouti,6,2010,PR
Djibouti,5,2010,CL
Djibouti,NF,2010,Status
Djibouti,6,2011,PR
Djibouti,5,2011,CL
Djibouti,NF,2011,Status
Djibouti,6,2012,PR
Djibouti,5,2012,CL
Djibouti,NF,2012,Status
Djibouti,6,2013,PR
Djibouti,5,2013,CL
Djibouti,NF,2013,Status
Djibouti,6,2014,PR
Djibouti,5,2014,CL
Djibouti,NF,2014,Status
Egypt,6,2000,PR
Egypt,5,2000,CL
Egypt,NF,2000,Status
Egypt,6,2001,PR
Egypt,6,2001,CL
Egypt,NF,2001,Status
Egypt,6,2002,PR
Egypt,6,2002,CL
Egypt,NF,2002,Status
Egypt,6,2003,PR
Egypt,6,2003,CL
Egypt,NF,2003,Status
Egypt,6,2004,PR
Egypt,5,2004,CL
Egypt,NF,2004,Status
Egypt,6,2005,PR
Egypt,5,2005,CL
Egypt,NF,2005,Status
Egypt,6,2006,PR
Egypt,5,2006,CL
Egypt,NF,2006,Status
Egypt,6,2007,PR
Egypt,5,2007,CL
Egypt,NF,2007,Status
Egypt,6,2008,PR
Egypt,5,2008,CL
Egypt,NF,2008,Status
Egypt,6,2009,PR
Egypt,5,2009,CL
Egypt,NF,2009,Status
Egypt,6,2010,PR
Egypt,5,2010,CL
Egypt,NF,2010,Status
Egypt,6,2011,PR
Egypt,5,2011,CL
Egypt,NF,2011,Status
Egypt,5,2012,PR
Egypt,5,2012,CL
Egypt,PF,2012,Status
Egypt,6,2013,PR
Egypt,5,2013,CL
Egypt,NF,2013,Status
Egypt,6,2014,PR
Egypt,5,2014,CL
Egypt,NF,2014,Status
Equatorial Guinea,7,2000,PR
Equatorial Guinea,7,2000,CL
Equatorial Guinea,NF,2000,Status
Equatorial Guinea,6,2001,PR
Equatorial Guinea,6,2001,CL
Equatorial Guinea,NF,2001,Status
Equatorial Guinea,7,2002,PR
Equatorial Guinea,6,2002,CL
Equatorial Guinea,NF,2002,Status
Equatorial Guinea,7,2003,PR
Equatorial Guinea,6,2003,CL
Equatorial Guinea,NF,2003,Status
Equatorial Guinea,7,2004,PR
Equatorial Guinea,6,2004,CL
Equatorial Guinea,NF,2004,Status
Equatorial Guinea,7,2005,PR
Equatorial Guinea,6,2005,CL
Equatorial Guinea,NF,2005,Status
Equatorial Guinea,7,2006,PR
Equatorial Guinea,6,2006,CL
Equatorial Guinea,NF,2006,Status
Equatorial Guinea,7,2007,PR
Equatorial Guinea,6,2007,CL
Equatorial Guinea,NF,2007,Status
Equatorial Guinea,7,2008,PR
Equatorial Guinea,7,2008,CL
Equatorial Guinea,NF,2008,Status
Equatorial Guinea,7,2009,PR
Equatorial Guinea,7,2009,CL
Equatorial Guinea,NF,2009,Status
Equatorial Guinea,7,2010,PR
Equatorial Guinea,7,2010,CL
Equatorial Guinea,NF,2010,Status
Equatorial Guinea,7,2011,PR
Equatorial Guinea,7,2011,CL
Equatorial Guinea,NF,2011,Status
Equatorial Guinea,7,2012,PR
Equatorial Guinea,7,2012,CL
Equatorial Guinea,NF,2012,Status
Equatorial Guinea,7,2013,PR
Equatorial Guinea,7,2013,CL
Equatorial Guinea,NF,2013,Status
Equatorial Guinea,7,2014,PR
Equatorial Guinea,7,2014,CL
Equatorial Guinea,NF,2014,Status
Eritrea,7,2000,PR
Eritrea,5,2000,CL
Eritrea,NF,2000,Status
Eritrea,7,2001,PR
Eritrea,6,2001,CL
Eritrea,NF,2001,Status
Eritrea,7,2002,PR
Eritrea,6,2002,CL
Eritrea,NF,2002,Status
Eritrea,7,2003,PR
Eritrea,6,2003,CL
Eritrea,NF,2003,Status
Eritrea,7,2004,PR
Eritrea,6,2004,CL
Eritrea,NF,2004,Status
Eritrea,7,2005,PR
Eritrea,6,2005,CL
Eritrea,NF,2005,Status
Eritrea,7,2006,PR
Eritrea,6,2006,CL
Eritrea,NF,2006,Status
Eritrea,7,2007,PR
Eritrea,6,2007,CL
Eritrea,NF,2007,Status
Eritrea,7,2008,PR
Eritrea,6,2008,CL
Eritrea,NF,2008,Status
Eritrea,7,2009,PR
Eritrea,7,2009,CL
Eritrea,NF,2009,Status
Eritrea,7,2010,PR
Eritrea,7,2010,CL
Eritrea,NF,2010,Status
Eritrea,7,2011,PR
Eritrea,7,2011,CL
Eritrea,NF,2011,Status
Eritrea,7,2012,PR
Eritrea,7,2012,CL
Eritrea,NF,2012,Status
Eritrea,7,2013,PR
Eritrea,7,2013,CL
Eritrea,NF,2013,Status
Eritrea,7,2014,PR
Eritrea,7,2014,CL
Eritrea,NF,2014,Status
Ethiopia,5,2000,PR
Ethiopia,5,2000,CL
Ethiopia,PF,2000,Status
Ethiopia,5,2001,PR
Ethiopia,5,2001,CL
Ethiopia,PF,2001,Status
Ethiopia,5,2002,PR
Ethiopia,5,2002,CL
Ethiopia,PF,2002,Status
Ethiopia,5,2003,PR
Ethiopia,5,2003,CL
Ethiopia,PF,2003,Status
Ethiopia,5,2004,PR
Ethiopia,5,2004,CL
Ethiopia,PF,2004,Status
Ethiopia,5,2005,PR
Ethiopia,5,2005,CL
Ethiopia,PF,2005,Status
Ethiopia,5,2006,PR
Ethiopia,5,2006,CL
Ethiopia,PF,2006,Status
Ethiopia,5,2007,PR
Ethiopia,5,2007,CL
Ethiopia,PF,2007,Status
