"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"36008","1","China donates 10,000,000 RMB to Peru to finance economic and technological cooperation","","start-actual","","end-actual","China","CHN","Peru","PER","998","Unallocated / Unspecified","","","Implementation","2006","2006","2307753.346",""
"36009","1","China Donates Customs Control Scanner to Bolivia","","start-actual","","end-actual","China","CHN","Bolivia","BOL","150","Government and Civil Society","","","Completion","2011","2011","3886353.528",""
"36012","1","Multinational Group including China Red Cross donates $1.4 million for volcano relief aid","2006-10-11","start-actual","","end-actual","China","CHN","Ecuador","ECU","720","Emergency Response","","","Completion","2006","2006","2576101.952",""
"36018","1","China sends 16th medical team to Burundi","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","","","Completion"," "," ","",""
"36021","1","China donates $100K to International Conference on the Great Lakes Region","","start-actual","2014-08-04","end-actual","China","CHN","Burundi","BDI","150","Government and Civil Society","","","Implementation","2014","2014","100000.0",""
"36023","1","Chinese commissions Huawei-Onatel for Metropolitan Area Network in Burundi","","start-actual","","end-actual","China","CHN","Burundi","BDI","220","Communications","","","Implementation","2014","2014","14980000.0",""
"36027","1","23.8 MM USD Loan to Purchase Turbines for Bolivia's First Wind Farm","","start-actual","","end-actual","China","CHN","Bolivia","BOL","230","Energy Generation and Supply","","","Pipeline/identification","2012","2012","25214114.73",""
"36031","1","Bolivian Army Construction Command Receives Water Drilling Equipment from China","","start-actual","","end-actual","China","CHN","Bolivia","BOL","140","Water Supply and Sanitation","","","Completion","2012","2012","4767374.634",""
"36038","1","China donates 300,000 USD to Colombia for flood relief","","start-actual","","end-actual","China","CHN","Colombia","COL","720","Emergency Response","","","Completion","2008","2008","413822.7855",""
"36061","1","China to donate 300,000 USD for Peru earthquake relief (link to ID #36062)","","start-actual","","end-actual","China","CHN","Peru","PER","720","Emergency Response","","","Completion","2007","2007","488435.2343",""
"36063","1","China donates $300,000 to Colombia to develop community cleared of landmines","","start-actual","","end-actual","China","CHN","Colombia","COL","150","Government and Civil Society","","","Implementation","2009","2009","397454.1053",""
"36064","1","China EXIM Bank Provides $2.15 billion USD to support Chinalco investment in Toromocho mining project","2011-05-01","start-actual","2013-12-10","end-actual","China","CHN","Peru","PER","320","Industry, Mining, Construction","","","Completion","2007","2013","3500452512.0",""
"36065","1","China donates medical materials to the Democratic Republic of Congo","2014-10-29","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","120","Health","","","Completion","2014","2014","5000000.0",""
"36071","1","China offers Tanzania 26 billion Tanzanian shilling interest-free loan (link to ID#36070)","","start-actual","","end-actual","China","CHN","Tanzania","TZA","998","Unallocated / Unspecified","","","Implementation","2014","2014","15719425.08",""
"36072","1","China donates furniture to Tanzania's Nyerere International Convention Centre (link to ID#36070)","","start-actual","","end-actual","China","CHN","Tanzania","TZA","160","Other Social Infrastructure and Services","","","Pipeline/identification","2013","2013","826179.9352",""
"36075","1","China donates 30 million shillings to Tanzania for flood relief","","start-actual","2014-01-30","end-actual","China","CHN","Tanzania","TZA","720","Emergency Response","","","Completion","2014","2014","18137.79817",""
"36076","1","Chinese ambassador donates to Tanzanian school","","start-actual","","end-actual","China","CHN","Tanzania","TZA","110","Education","","","Completion","2014","2014","3000.0",""
"36077","1","Chinese ambassador donates supplies to Tanzanian school","","start-actual","","end-actual","China","CHN","Tanzania","TZA","110","Education","","","Completion"," "," ","",""
"36079","1","China donates OB van to Tanzanian national broadcasting corporation","","start-actual","","end-actual","China","CHN","Tanzania","TZA","160","Other Social Infrastructure and Services","","","Completion"," "," ","",""
"36082","1","China loans Tanzania 136 million USD for wind power project","","start-actual","","end-actual","China","CHN","Tanzania","TZA","230","Energy Generation and Supply","","","Implementation","2014","2014","136000000.0",""
"36083","1","15th Chinese medical team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","","","Completion"," "," ","",""
"36085","1","14th Chinese medical team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","","","Completion"," "," ","",""
"36088","1","13th Chinese medical Team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","","","Completion"," "," ","",""
"36089","1","12th Chinese medical team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","","","Completion"," "," ","",""
"36090","1","China donates solar energy kit systems to Rwanda","","start-actual","","end-actual","China","CHN","Rwanda","RWA","230","Energy Generation and Supply","","","Completion","2014","2014","642304.0",""
"36091","1","11th Chinese medical team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","","","Completion"," "," ","",""
"36092","1","10th Chinese medical team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","","","Completion"," "," ","",""
"36093","1","9th Chinese medical team","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","","","Completion"," "," ","",""
"36100","1","Chinese medical team 2014-2016 arrives in Rwanda","","start-actual","","end-actual","China","CHN","Rwanda","RWA","120","Health","","","Completion"," "," ","",""
"36101","1","China donates 50 million Yuan to support the Rwandan government","","start-actual","","end-actual","China","CHN","Rwanda","RWA","510","General Budget Support","","","Implementation","2014","2014","8138770.596",""
