all_recipients,crs_sector_name,flow,flow_class,funding_agency,intent,location_details,latitude,longitude,place_name,year,project_title,recipient_condensed,round_coded,aid_amount,predicted_by_modeling,aid_in_millions
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.16667,57.525,Port Louis District,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.25,57.56667,Moka District,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.23333,57.71667,Flacq District,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.22611,57.73611,Ecroignard,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.24494,57.49163,Ebene City,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.18694,57.4875,Les Guibies,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.20619,57.48553,Soreze,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.22833,57.54389,Verdun,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.12611,57.52444,Terre Rouge,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.02083,57.57222,Sottise,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.2275,57.4925,Le Réduit,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.06444,57.62583,Forbach,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.16194,57.49889,Port Louis,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.18972,57.71444,Centre de Flacq,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.15722,57.48528,Caudan Basin,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Mauritius,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"China-Africa Development Fund, Government Agency",Development,Port Louis,-20.19443,57.48339,Grewals Lane,2009,"East-West Corridor, Ring Road, Bus Way, and Harbour Bridge",Mauritius,ChinatoAfrica,1061567021,FALSE,1061.567021
Zimbabwe,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Mahusekwa, Mashonaland East, Zimbabwe",-18.30404,31.19832,Mahusekwa,2007,Chinese-Zimbabwean friendship hospital worth 10 million USD,Zimbabwe,ChinatoAfrica,16275319,FALSE,16.275319
Zimbabwe,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Chiwaridzo Primary School , Bindura, Zimbabwe",-17.82772,31.05337,Harare,2009,Chinese built 1.5 million USD primary school at Bindura,Zimbabwe,ChinatoAfrica,2035648,FALSE,2.035648
