all_recipients,crs_sector_name,flow,flow_class,funding_agency,intent,location_details,latitude,longitude,place_name,year,project_title,recipient_condensed,round_coded,aid_amount,predicted_by_modeling
Uganda,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.32889,32.60667,Naguru General Hospital,2014,Donation of medicine and equipment,Uganda,EcologicallySensitive,1627754.0,False
Uganda,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.43902,33.20317,Jinja,2010,"14th Chinese medical team in Uganda donates 100,000 RMB worth of medicine and equipment",Uganda,EcologicallySensitive,18577.0,False
Ghana,Government and Civil Society,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,unknown,0.0,0.0,Ghana,2009,30 million USD in Concessional loans for fibre optic and e-governance project,Ghana,AdditionalCoded,40712964.0,False
Equatorial Guinea,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,unknown,0.0,0.0,Equatorial Guinea,2010,China gives 380 millions USD Loan for social housing units construction,Equatorial Guinea,AdditionalCoded,477925273.0,False
Namibia,Other Multisector,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Namibia,2011,China gives concessional loans for multisector projects in Namibia,Namibia,AdditionalCoded,64815599.0,False
Sierra Leone,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Regent Village; Jui,8.41211,-13.12926,Jui,2011,China to fund construction of Regent-Jui Road,Sierra Leone,AdditionalCoded,33299620.0,False
Sierra Leone,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Regent Village; Jui,8.4351,-13.21793,Regent,2011,China to fund construction of Regent-Jui Road,Sierra Leone,AdditionalCoded,33299620.0,False
Sierra Leone,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Regent Village; Jui,8.323189999999999,-13.09485,Western Area Rural District,2011,China to fund construction of Regent-Jui Road,Sierra Leone,AdditionalCoded,33299620.0,False
Sierra Leone,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Regent Village; Jui,8.45358,-13.26617,Western Area Urban,2011,China to fund construction of Regent-Jui Road,Sierra Leone,AdditionalCoded,33299620.0,False
Sierra Leone,Transport and Storage,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Regent Village; Jui,8.436860000000001,-13.21266,Mountain Rural Ward,2011,China to fund construction of Regent-Jui Road,Sierra Leone,AdditionalCoded,33299620.0,False
Zimbabwe,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Harare,-17.81202,31.04274,Parirenyatwa Hospital,2012,"China donates ureteroscope equipment worth $50,000 to Zimbabwe hospital",Zimbabwe,AdditionalCoded,52952.0,False
Liberia,Education,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,6.2996,-10.79454,University of Liberia,2010,China provides $50 million grant for expansion of University of Liberia (Linked to Project #1620),Liberia,AdditionalCoded,62884904.0,False
Ghana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,9.4106,-0.8616,Tamale Stadium,2006,China loans 78 million USD for Sekondi Takoradi and Tamale Stadiums,Ghana,AdditionalCoded,143474057.0,False
Ghana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,4.9769,-1.6818,Sekondi-Takoradi Stadium,2006,China loans 78 million USD for Sekondi Takoradi and Tamale Stadiums,Ghana,AdditionalCoded,143474057.0,False
Ghana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,unknown,6.6844,-1.60512,Baba Yara Stadium,2006,China loans 26 million USD for Baba Yara Stadium,Ghana,AdditionalCoded,47824686.0,False
Burundi,Emergency Response,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Municipality of Bujumbura,-3.3802,29.3547,Bujumbura Mairie,2014,"China Donates 100,000 USD to Burundi Red Cross for Rains Disaster",Burundi,AdditionalCoded,100000.0,False
Burundi,Government and Civil Society,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Burundi,2014,"China donates 100,000 USD to International Conference on the Great Lakes Region in Burundi",Burundi,EcologicallySensitive,100000.0,False
Burundi,Government and Civil Society,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Burundi,2014,China donates 5 million RMB worth of materials to Burundi elections,Burundi,AdditionalCoded,813877.0,False
Burundi,Communications,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,Bujumbura,-3.3822,29.3644,Bujumbura,2014,Chinese commissions Huawei-Onatel for Metropolitan Area Network in Burundi,Burundi,EcologicallySensitive,14980000.0,False
Kenya,General Environmental Protection,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-1.08911,37.00832,Jomo Kenyatta University of Agriculture and Technology,2014,China to donate 10 million USD for wildlife conservation,Kenya,AdditionalCoded,10000000.0,False
Kenya,General Environmental Protection,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Kenya,2014,China to donate 10 million USD for wildlife conservation,Kenya,AdditionalCoded,10000000.0,False
"Congo, Dem. Rep.",Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,DR Congo,2014,China donates 5 million USD worth of medical materials to the Democratic Republic of Congo,"Congo, Dem. Rep.",EcologicallySensitive,5000000.0,False
Tanzania,Emergency Response,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Mvomero District,-6.37697,37.37373,Magole,2014,China donates 30 million shillings to Tanzania for flood relief,Tanzania,EcologicallySensitive,18138.0,False
